Departamento,Solicitud
Administrativo,Requiero una certificación académica con promedio general
Administrativo,Solicito una certificación de notas para aplicar a una beca
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Administrativo,Requiero una constancia de terminación de materias
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Administrativo,Requiero una constancia de terminación de materias
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Registro y control,Necesito reactivar mi matrí­cula académica
Registro y control,Deseo cancelar la materia de cálculo diferencial
Apoyo financiero,Requiero paz y salvo para proceso de grado
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Registro y control,Quiero inscribir la materia de inglés II para el próximo semestre
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Administrativo,Requiero una certificación académica con promedio general
Apoyo financiero,Por favor realizar el descuento correspondiente al convenio SENA
Administrativo,Solicito una certificación de notas para aplicar a una beca
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Registro y control,Necesito reactivar mi matrí­cula académica
Administrativo,Requiero una constancia de terminación de materias
Registro y control,Solicito aplazamiento del semestre por motivos personales
Apoyo financiero,Solicito soporte del pago realizado esta semana
Apoyo financiero,Hola, escribo para solicitar una beca por dificultades económicas
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Administrativo,Requiero una certificación académica con promedio general
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Administrativo,Solicito un certificado de notas correspondiente al segundo semestre de 2023
Administrativo,Solicito una certificación de notas para aplicar a una beca
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Apoyo financiero,Por favor realizar el descuento correspondiente al convenio SENA
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Administrativo,Requiero una certificación académica con promedio general
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Administrativo,Por favor emitir un certificado de estudios actualizado
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Apoyo financiero,Quisiera saber si puedo acceder a una beca por buen rendimiento académico
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Registro y control,Deseo cancelar la materia de cálculo diferencial
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Apoyo financiero,Quisiera saber si puedo acceder a una beca por buen rendimiento académico
Registro y control,Necesito reactivar mi matrí­cula académica
Apoyo financiero,Solicito soporte del pago realizado esta semana
Registro y control,Deseo cancelar la materia de cálculo diferencial
Registro y control,Deseo cancelar la materia de cálculo diferencial
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Registro y control,Solicito información sobre cómo cancelar semestre
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Registro y control,Deseo cancelar la materia de cálculo diferencial
Apoyo financiero,Solicito soporte del pago realizado esta semana
Administrativo,Solicito una certificación de notas para aplicar a una beca
Apoyo financiero,Hola, escribo para solicitar una beca por dificultades económicas
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Apoyo financiero,Solicito soporte del pago realizado esta semana
Administrativo,Solicito un certificado de notas correspondiente al segundo semestre de 2023
Apoyo financiero,Quisiera saber si puedo acceder a una beca por buen rendimiento académico
Administrativo,Necesito una constancia de matrí­cula del semestre actual
Registro y control,Necesito reactivar mi matrí­cula académica
Administrativo,Requiero una constancia de terminación de materias
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Solicito información sobre cómo cancelar semestre
Apoyo financiero,Solicito información sobre el pago fraccionado de la matrí­cula
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Registro y control,Solicito aplazamiento del semestre por motivos personales
Administrativo,Requiero una certificación académica con promedio general
Registro y control,Deseo cancelar la materia de cálculo diferencial
Registro y control,Solicito aplazamiento del semestre por motivos personales
Administrativo,Requiero una constancia de terminación de materias
Registro y control,Deseo cancelar la materia de cálculo diferencial
Registro y control,Necesito reactivar mi matrí­cula académica
Administrativo,Solicito un certificado de notas correspondiente al segundo semestre de 2023
Apoyo financiero,Deseo conocer las fechas de pago para el próximo semestre
Apoyo financiero,Por favor realizar el descuento correspondiente al convenio SENA
Administrativo,Requiero una certificación académica con promedio general
Registro y control,Necesito reactivar mi matrí­cula académica
Apoyo financiero,Hola, escribo para solicitar una beca por dificultades económicas
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Registro y control,Solicito información sobre cómo cancelar semestre
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Por favor modificar el grupo de la materia de programación I
Administrativo,Requiero una certificación académica con promedio general
Registro y control,Quiero inscribir la materia de inglés II para el próximo semestre
Apoyo financiero,Solicito soporte del pago realizado esta semana
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Administrativo,Requiero una certificación académica con promedio general
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Apoyo financiero,Requiero paz y salvo para proceso de grado
Administrativo,Buen dí­a, solicito certificado de conducta universitaria
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Apoyo financiero,Solicito aplicar al plan de financiación de matrí­cula
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Administrativo,Por favor emitir un certificado de estudios actualizado
Apoyo financiero,Requiero paz y salvo para proceso de grado
Administrativo,Requiero una certificación académica con promedio general
Registro y control,Solicito el cambio de jornada para la materia de fí­sica
Apoyo financiero,Requiero paz y salvo para proceso de grado
Apoyo financiero,Por favor realizar el descuento correspondiente al convenio SENA
Registro y control,Necesito realizar una homologación de materias cursadas en otra universidad
Registro y control,Por favor modificar el grupo de la materia de programación I
Administrativo,Por favor emitir un certificado de estudios actualizado
Administrativo,Solicito una certificación de escolaridad para trámites laborales
Registro y control,Por favor modificar el grupo de la materia de programación I
Registro y control,Solicito aplazamiento del semestre por motivos personales
